sample_id,variant,variant_pct
20221228NY119026689A,XBB.1.5.20,0.22867282
20221228NY119026689A,XBB.1.5,0.13570321
20221228NY119026689A,BQ.1.1,0.0984316
20221228NY119026689A,Unidentified,0.04967675999999998
20221228NY119026689A,BN.1.4.5,0.0424837
20221228NY119026689A,XBB.1.5.16,0.0393604
20221228NY119026689A,XBB.1.5.6,0.0381471
20221228NY119026689A,XBB.1.5.13,0.03457735
20221228NY119026689A,BQ.1.1.68,0.0345286
20221228NY119026689A,XBB.1.5.19,0.0223577
20221228NY119026689A,XAS,0.02099993
20221228NY119026689A,XBB.1.5.24,0.01218448
20221228NY119026689A,BQ.1.1.4,0.01096321
20221228NY119026689A,XBB.1.5.8,0.00835969
20221228NY119026689A,XBB.1.5.17,0.00748453
20221228NY119026689A,XBB.1.5.5,0.00719424
20221228NY119026689A,BQ.1.1.50,0.00652316
20221228NY119026689A,BQ.1.1.40,0.00547945
20221228NY119026689A,BQ.1.1.51,0.00535862
20221228NY119026689A,XBB.1.5.59,0.00531985
20221228NY119026689A,BQ.1.1.37,0.00481696
20221228NY119026689A,BQ.1.1.3,0.0047619
20221228NY119026689A,BQ.1.27,0.00455465
20221228NY119026689A,BA.2.11,0.00442111
20221228NY119026689A,BQ.1.13,0.00395452
20221228NY119026689A,XBB.1.5.61,0.00378072
20221228NY119026689A,XBB.1.5.15,0.0037486
20221228NY119026689A,XBB.1.30,0.00364964
20221228NY119026689A,BQ.1.1.10,0.00358774
20221228NY119026689A,BQ.1.1.62,0.00352113
20221228NY119026689A,CQ.1,0.00345066
20221228NY119026689A,XBB.1.5.2,0.003367
20221228NY119026689A,XBB.1.13,0.00335599
20221228NY119026689A,XBB.1.5.37,0.00332226
20221228NY119026689A,FD.4,0.00297974
20221228NY119026689A,FM.1,0.00286847
20221228NY119026689A,FT.1,0.00286533
20221228NY119026689A,BQ.1.10.3,0.00273973
20221228NY119026689A,CH.1.1.24,0.00269542
20221228NY119026689A,BQ.1.1.53,0.00259884
20221228NY119026689A,BQ.1.9,0.00259235
20221228NY119026689A,BM.2.1,0.00257211
20221228NY119026689A,DJ.1.3,0.0025641
20221228NY119026689A,EF.1.2,0.00245834
20221228NY119026689A,BR.3,0.00241955
20221228NY119026689A,DZ.1,0.00237812
20221228NY119026689A,DY.3,0.00231672
20221228NY119026689A,EE.1,0.00231109
20221228NY119026689A,BE.12,0.00230548
20221228NY119026689A,BQ.1.1.17,0.00225989
20221228NY119026689A,XBB.1.5.23,0.00219941
20221228NY119026689A,BQ.1.1.15,0.00215285
20221228NY119026689A,XBB.1.5.34,0.00214133
20221228NY119026689A,EF.1,0.0020984
20221228NY119026689A,DK.1,0.00203171
20221228NY119026689A,BQ.1.1.43,0.00200763
20221228NY119026689A,BQ.1.1.69,0.00190476
20221228NY119026689A,FB.2,0.00187793
20221228NY119026689A,XBB.1.34,0.00187373
20221228NY119026689A,BQ.1.1.44,0.00179211
20221228NY119026689A,XBB.1.5.35,0.0017913200000000001
20221228NY119026689A,GA.3,0.00178389
20221228NY119026689A,BQ.1.1.32,0.00177936
20221228NY119026689A,XBB.1.5.32,0.00173611
20221228NY119026689A,BF.11,0.00169358
20221228NY119026689A,BQ.1.1.54,0.00168602
20221228NY119026689A,BW.1.1.1,0.00166767
20221228NY119026689A,XBB.1.5.46,0.00164609
20221228NY119026689A,BQ.1.1.73,0.0016247
20221228NY119026689A,XBB.1.37,0.0016129
20221228NY119026689A,BF.7.13.2,0.00160901
20221228NY119026689A,XBB.3.3,0.00158658
20221228NY119026689A,BQ.1.1.29,0.00158103
20221228NY119026689A,BQ.1.1.60,0.00153051
20221228NY119026689A,CZ.1,0.00152141
20221228NY119026689A,FD.3,0.0015083
20221228NY119026689A,XBB.1.11,0.00148588
20221228NY119026689A,BQ.1.1.55,0.00148148
20221228NY119026689A,XBB.1.5.18,0.00145773
